# PROPOSED rows for results/CORPUS-EXCLUSIONS.tsv, owed by CORRECTIONS 291.10 / 291.11 at cgw1's landing (28 = the 12 W2 + 16 W4 runs).
# NOT applied here: this stage does NOT edit results/CORPUS-EXCLUSIONS.tsv or analysis/corpus_exclusions.py; the ingest applies them.
# Kind ARGS_WD_BASE exists since CORRECTIONS 263 (standard 0.1).  ONE ARGS kind per run, so the two-ARGS-kind gap owed for caw2 XS/XL
# does not arise here.  The W1 runs (wd 0.1) are standard and are NOT listed.  job_id from each run's own .out file name; witness
# = the value on the run's own ARGS line (verified by analysis/cgw1_attack_indep.py [2]).
run	job_id	batch	arm	looks_like	intervention	witness	registered_at	reason
cgw1-chW2-s152	5079343	cgw1	chW2	ch (granularity chunk777)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-ndW2-s152	5079344	cgw1	ndW2	nd (granularity nodewise)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-k01W2-s152	5079345	cgw1	k01W2	k01 (granularity scalar)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-kLW2-s152	5079346	cgw1	kLW2	kL (granularity layerwise)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-chW2-s153	5079347	cgw1	chW2	ch (granularity chunk777)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-ndW2-s153	5079348	cgw1	ndW2	nd (granularity nodewise)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-k01W2-s153	5079349	cgw1	k01W2	k01 (granularity scalar)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-kLW2-s153	5079350	cgw1	kLW2	kL (granularity layerwise)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-chW2-s154	5079351	cgw1	chW2	ch (granularity chunk777)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-ndW2-s154	5079352	cgw1	ndW2	nd (granularity nodewise)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-k01W2-s154	5079353	cgw1	k01W2	k01 (granularity scalar)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-kLW2-s154	5079354	cgw1	kLW2	kL (granularity layerwise)	--weight-decay-base 1e-2	ARGS_WD_BASE: weight-decay-base=1e-2	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-chW4-s152	5079355	cgw1	chW4	ch (granularity chunk777)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-ndW4-s152	5079356	cgw1	ndW4	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-k01W4-s152	5079357	cgw1	k01W4	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-kLW4-s152	5079358	cgw1	kLW4	kL (granularity layerwise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-chW4-s153	5079359	cgw1	chW4	ch (granularity chunk777)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-ndW4-s153	5079360	cgw1	ndW4	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-k01W4-s153	5079361	cgw1	k01W4	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-kLW4-s153	5079362	cgw1	kLW4	kL (granularity layerwise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-chW4-s154	5079363	cgw1	chW4	ch (granularity chunk777)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
cgw1-ndW4-s154	5079364	cgw1	ndW4	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 291	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
