# PROPOSED rows for results/CORPUS-EXCLUSIONS.tsv, owed by CORRECTIONS 299.9 at g3b's landing (16 = the W4 runs: wd 5e-4 != the standard 0.1; the 16 W1 runs sit at 0.1 and are not listed).
# NOT applied here: this stage does NOT edit results/CORPUS-EXCLUSIONS.tsv or analysis/corpus_exclusions.py; the ingest applies them.
# Kind ARGS_WD_BASE exists since CORRECTIONS 263 (standard 0.1).  ONE ARGS kind per run (momentum-param-base is 0.99 on every run).
# witness GENERATED by corpus_exclusions.args_deviations(args_factors(<the run's own .out>)) (HEAD 3723a499 module, read-only), never typed.
# registered_at = CORRECTIONS 315, the next free number when this file was written (314's closing line): PROVISIONAL -- the landing
# entry must carry this number or the ingest must rewrite the column to the landing entry's number.  job_id from each run's own .out
# file name.  Verified byte for byte by analysis/g3b_attack_indep.py [9].  Rows in job order.
run	job_id	batch	arm	looks_like	intervention	witness	registered_at	reason
g3b-chW4-s170	5080814	g3b	chW4	ch (granularity chunk771)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-ndW4-s170	5080815	g3b	ndW4	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-k01W4-s170	5080816	g3b	k01W4	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-kLW4-s170	5080817	g3b	kLW4	kL (granularity layerwise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-chW4-s171	5080818	g3b	chW4	ch (granularity chunk771)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-ndW4-s171	5080819	g3b	ndW4	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-k01W4-s171	5080820	g3b	k01W4	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-kLW4-s171	5080821	g3b	kLW4	kL (granularity layerwise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-chW4-s172	5080822	g3b	chW4	ch (granularity chunk771)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-ndW4-s172	5080823	g3b	ndW4	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-k01W4-s172	5080824	g3b	k01W4	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-kLW4-s172	5080825	g3b	kLW4	kL (granularity layerwise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-chW4-s173	5080826	g3b	chW4	ch (granularity chunk771)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-ndW4-s173	5080827	g3b	ndW4	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-k01W4-s173	5080828	g3b	k01W4	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
g3b-kLW4-s173	5080829	g3b	kLW4	kL (granularity layerwise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 315	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
