# PROPOSED rows for results/CORPUS-EXCLUSIONS.tsv, owed by CORRECTIONS 306.9 at cai1's landing: 32 rows, ALL TWO-AXIS (308.2 / 308.8):
# every run is at --weight-decay-base 0 (ARGS_WD_BASE, 263's kind) AND prints DECAY_ROUTE: on mode=alpha_indep (the 10th line kind, 308).
# witness ARGS_WD_BASE GENERATED by corpus_exclusions.args_deviations(args_factors(<the run's own .out>)) (HEAD 3723a499 module, read-only),
# never typed; each run's DECAY_ROUTE line (copied from its .out) was asserted equal to DECAY_ROUTE_ARMS and MULTI_KIND for its arm.
# Row forms of CORRECTIONS 308.8, in ASCII (alpha written out, as every row of the TSV).  job_id from each run's own .out file name.
# NOT applied here: this stage does NOT edit results/CORPUS-EXCLUSIONS.tsv or analysis/corpus_exclusions.py; the ingest applies them.
# registered_at = CORRECTIONS 318: PROVISIONAL (317 is already named provisionally by results/crd1_exclusion_rows_PROPOSED.tsv) --
# the landing entry must carry this number or the ingest must rewrite the column to the landing entry's number.
# Verified byte for byte by analysis/cai1_attack_indep.py [8].  Rows in job order.
run	job_id	batch	arm	looks_like	intervention	witness	registered_at	reason
cai1-chI5-s192	5081292	cai1	chI5	ch (granularity chunk777)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:5e-5	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 318	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
cai1-ndI5-s192	5081293	cai1	ndI5	nd (granularity nodewise)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:5e-5	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 318	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
cai1-k01I5-s192	5081294	cai1	k01I5	k01 (granularity scalar)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:5e-5	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 318	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
cai1-kLI5-s192	5081295	cai1	kLI5	kL (granularity layerwise)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:5e-5	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 318	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
cai1-chI5-s193	5081296	cai1	chI5	ch (granularity chunk777)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:5e-5	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 318	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
cai1-ndI5-s193	5081297	cai1	ndI5	nd (granularity nodewise)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:5e-5	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 318	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
cai1-k01I5-s193	5081298	cai1	k01I5	k01 (granularity scalar)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:5e-5	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 318	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
cai1-kLI5-s193	5081299	cai1	kLI5	kL (granularity layerwise)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:5e-5	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 318	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
cai1-chI5-s194	5081300	cai1	chI5	ch (granularity chunk777)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:5e-5	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 318	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
cai1-ndI5-s194	5081301	cai1	ndI5	nd (granularity nodewise)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:5e-5	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 318	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
