# PROPOSED rows for results/CORPUS-EXCLUSIONS.tsv, owed by CORRECTIONS 303.9 / 304.8 at cvl1's landing (32 = every run: all train on 45,000 images).
# NOT applied here: this stage does NOT edit results/CORPUS-EXCLUSIONS.tsv or analysis/corpus_exclusions.py; the ingest applies them.
# Format exactly 304.8's: the 16 W1 rows are ONE-kind rows listed by the run's own `VAL_SPLIT: on ...` line (copied from the .out);
# the 16 W4 rows are TWO-AXIS (284's rule): listed by the ARGS witness GENERATED by corpus_exclusions.args_deviations() on the run's
# own ARGS line (never typed), the VAL_SPLIT line held to MULTI_KIND (304).  registered_at = CORRECTIONS 312, the reserved cvl1
# landing entry.  job_id from each run's own .out file name.  Verified byte for byte by analysis/cvl1_attack_indep.py.  Job order.
run	job_id	batch	arm	looks_like	intervention	witness	registered_at	reason
cvl1-chW1-s184	5080667	cvl1	chW1	ch (granularity chunk777)	VAL_SPLIT=5000:302	VAL_SPLIT: on dataset=CIFAR10 n_val=5000 n_train=45000 classes=10 per_class=500 split_seed=302 val_sha=7d3a1489390161d637ad0b526ac32a10723210722879f8deead4462e4f69bb0e train_sha=2733a990cf7a76d8e92014cdd6aceeb8c055f7cd49cc7df913923b066c1e5e91	CORRECTIONS 312	held-out validation split: trains on 45,000 of 50,000 images; not carried by any CSV column
cvl1-ndW1-s184	5080668	cvl1	ndW1	nd (granularity nodewise)	VAL_SPLIT=5000:302	VAL_SPLIT: on dataset=CIFAR10 n_val=5000 n_train=45000 classes=10 per_class=500 split_seed=302 val_sha=7d3a1489390161d637ad0b526ac32a10723210722879f8deead4462e4f69bb0e train_sha=2733a990cf7a76d8e92014cdd6aceeb8c055f7cd49cc7df913923b066c1e5e91	CORRECTIONS 312	held-out validation split: trains on 45,000 of 50,000 images; not carried by any CSV column
cvl1-k01W1-s184	5080669	cvl1	k01W1	k01 (granularity scalar)	VAL_SPLIT=5000:302	VAL_SPLIT: on dataset=CIFAR10 n_val=5000 n_train=45000 classes=10 per_class=500 split_seed=302 val_sha=7d3a1489390161d637ad0b526ac32a10723210722879f8deead4462e4f69bb0e train_sha=2733a990cf7a76d8e92014cdd6aceeb8c055f7cd49cc7df913923b066c1e5e91	CORRECTIONS 312	held-out validation split: trains on 45,000 of 50,000 images; not carried by any CSV column
cvl1-kLW1-s184	5080670	cvl1	kLW1	kL (granularity layerwise)	VAL_SPLIT=5000:302	VAL_SPLIT: on dataset=CIFAR10 n_val=5000 n_train=45000 classes=10 per_class=500 split_seed=302 val_sha=7d3a1489390161d637ad0b526ac32a10723210722879f8deead4462e4f69bb0e train_sha=2733a990cf7a76d8e92014cdd6aceeb8c055f7cd49cc7df913923b066c1e5e91	CORRECTIONS 312	held-out validation split: trains on 45,000 of 50,000 images; not carried by any CSV column
cvl1-chW1-s185	5080671	cvl1	chW1	ch (granularity chunk777)	VAL_SPLIT=5000:302	VAL_SPLIT: on dataset=CIFAR10 n_val=5000 n_train=45000 classes=10 per_class=500 split_seed=302 val_sha=7d3a1489390161d637ad0b526ac32a10723210722879f8deead4462e4f69bb0e train_sha=2733a990cf7a76d8e92014cdd6aceeb8c055f7cd49cc7df913923b066c1e5e91	CORRECTIONS 312	held-out validation split: trains on 45,000 of 50,000 images; not carried by any CSV column
cvl1-ndW1-s185	5080672	cvl1	ndW1	nd (granularity nodewise)	VAL_SPLIT=5000:302	VAL_SPLIT: on dataset=CIFAR10 n_val=5000 n_train=45000 classes=10 per_class=500 split_seed=302 val_sha=7d3a1489390161d637ad0b526ac32a10723210722879f8deead4462e4f69bb0e train_sha=2733a990cf7a76d8e92014cdd6aceeb8c055f7cd49cc7df913923b066c1e5e91	CORRECTIONS 312	held-out validation split: trains on 45,000 of 50,000 images; not carried by any CSV column
cvl1-k01W1-s185	5080673	cvl1	k01W1	k01 (granularity scalar)	VAL_SPLIT=5000:302	VAL_SPLIT: on dataset=CIFAR10 n_val=5000 n_train=45000 classes=10 per_class=500 split_seed=302 val_sha=7d3a1489390161d637ad0b526ac32a10723210722879f8deead4462e4f69bb0e train_sha=2733a990cf7a76d8e92014cdd6aceeb8c055f7cd49cc7df913923b066c1e5e91	CORRECTIONS 312	held-out validation split: trains on 45,000 of 50,000 images; not carried by any CSV column
cvl1-kLW1-s185	5080674	cvl1	kLW1	kL (granularity layerwise)	VAL_SPLIT=5000:302	VAL_SPLIT: on dataset=CIFAR10 n_val=5000 n_train=45000 classes=10 per_class=500 split_seed=302 val_sha=7d3a1489390161d637ad0b526ac32a10723210722879f8deead4462e4f69bb0e train_sha=2733a990cf7a76d8e92014cdd6aceeb8c055f7cd49cc7df913923b066c1e5e91	CORRECTIONS 312	held-out validation split: trains on 45,000 of 50,000 images; not carried by any CSV column
cvl1-chW1-s186	5080675	cvl1	chW1	ch (granularity chunk777)	VAL_SPLIT=5000:302	VAL_SPLIT: on dataset=CIFAR10 n_val=5000 n_train=45000 classes=10 per_class=500 split_seed=302 val_sha=7d3a1489390161d637ad0b526ac32a10723210722879f8deead4462e4f69bb0e train_sha=2733a990cf7a76d8e92014cdd6aceeb8c055f7cd49cc7df913923b066c1e5e91	CORRECTIONS 312	held-out validation split: trains on 45,000 of 50,000 images; not carried by any CSV column
cvl1-ndW1-s186	5080676	cvl1	ndW1	nd (granularity nodewise)	VAL_SPLIT=5000:302	VAL_SPLIT: on dataset=CIFAR10 n_val=5000 n_train=45000 classes=10 per_class=500 split_seed=302 val_sha=7d3a1489390161d637ad0b526ac32a10723210722879f8deead4462e4f69bb0e train_sha=2733a990cf7a76d8e92014cdd6aceeb8c055f7cd49cc7df913923b066c1e5e91	CORRECTIONS 312	held-out validation split: trains on 45,000 of 50,000 images; not carried by any CSV column
