# PROPOSED rows for results/CORPUS-EXCLUSIONS.tsv, owed by CORRECTIONS 307.9 as corrected by 308.4 at crd1's landing: 18 rows,
# 12 ONE-kind (SR* / TR*, standard wd 0.1: witness = the run's own DECAY_ROUTE line, held to DECAY_ROUTE_ARMS) + 6 TWO-AXIS
# (AI*, weight-decay-base 0 + DECAY_ROUTE=alpha_indep:3.15e-4: witness ARGS_WD_BASE, the DECAY_ROUTE line held to MULTI_KIND and
# DECAY_ROUTE_ARMS).  Row forms of CORRECTIONS 308.8, in ASCII (alpha written out, as every row of the TSV).
# NOT applied here: this stage does NOT edit results/CORPUS-EXCLUSIONS.tsv or analysis/corpus_exclusions.py; the ingest applies them.
# ARGS witness GENERATED by corpus_exclusions.args_deviations(args_factors(<the run's own .out>)) (HEAD 3723a499 module, read-only);
# DECAY_ROUTE witness = the run's own line, copied from its .out; never typed.  job_id from each run's own .out file name.
# registered_at = CORRECTIONS 317, the next free number when this file was written (316's closing line): PROVISIONAL -- the landing
# entry must carry this number or the ingest must rewrite the column to the landing entry's number.
# Verified byte for byte by analysis/crd1_attack_indep.py [7].  Rows in job order.
run	job_id	batch	arm	looks_like	intervention	witness	registered_at	reason
crd1-SRS-s196	5081273	crd1	SRS	k01 (granularity scalar)	DECAY_ROUTE=shrink_only	DECAY_ROUTE: on mode=shrink_only base=SGDm wd=0.1 lambda=na lambda_f32=na gamma=1.0	CORRECTIONS 317	decay-route switch (PATCH_DECAYROUTE, CORRECTIONS 305): not carried by any CSV column; the line held to DECAY_ROUTE_ARMS (CORRECTIONS 308)
crd1-SRL-s196	5081274	crd1	SRL	kL (granularity layerwise)	DECAY_ROUTE=shrink_only	DECAY_ROUTE: on mode=shrink_only base=SGDm wd=0.1 lambda=na lambda_f32=na gamma=1.0	CORRECTIONS 317	decay-route switch (PATCH_DECAYROUTE, CORRECTIONS 305): not carried by any CSV column; the line held to DECAY_ROUTE_ARMS (CORRECTIONS 308)
crd1-TRS-s196	5081275	crd1	TRS	k01 (granularity scalar)	DECAY_ROUTE=trace_only	DECAY_ROUTE: on mode=trace_only base=SGDm wd=0.1 lambda=na lambda_f32=na gamma=1.0	CORRECTIONS 317	decay-route switch (PATCH_DECAYROUTE, CORRECTIONS 305): not carried by any CSV column; the line held to DECAY_ROUTE_ARMS (CORRECTIONS 308)
crd1-TRL-s196	5081276	crd1	TRL	kL (granularity layerwise)	DECAY_ROUTE=trace_only	DECAY_ROUTE: on mode=trace_only base=SGDm wd=0.1 lambda=na lambda_f32=na gamma=1.0	CORRECTIONS 317	decay-route switch (PATCH_DECAYROUTE, CORRECTIONS 305): not carried by any CSV column; the line held to DECAY_ROUTE_ARMS (CORRECTIONS 308)
crd1-AIS-s196	5081277	crd1	AIS	k01 (granularity scalar)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:3.15e-4	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 317	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
crd1-AIL-s196	5081278	crd1	AIL	kL (granularity layerwise)	--weight-decay-base 0 + DECAY_ROUTE=alpha_indep:3.15e-4	ARGS_WD_BASE: weight-decay-base=0	CORRECTIONS 317	TWO-AXIS (CORRECTIONS 284 / 308): the alpha-independent decay route AND the removed alpha-scaled base decay are carried by no CSV column; listed with the ARGS witness, the DECAY_ROUTE line held to MULTI_KIND and DECAY_ROUTE_ARMS
crd1-SRS-s197	5081279	crd1	SRS	k01 (granularity scalar)	DECAY_ROUTE=shrink_only	DECAY_ROUTE: on mode=shrink_only base=SGDm wd=0.1 lambda=na lambda_f32=na gamma=1.0	CORRECTIONS 317	decay-route switch (PATCH_DECAYROUTE, CORRECTIONS 305): not carried by any CSV column; the line held to DECAY_ROUTE_ARMS (CORRECTIONS 308)
crd1-SRL-s197	5081280	crd1	SRL	kL (granularity layerwise)	DECAY_ROUTE=shrink_only	DECAY_ROUTE: on mode=shrink_only base=SGDm wd=0.1 lambda=na lambda_f32=na gamma=1.0	CORRECTIONS 317	decay-route switch (PATCH_DECAYROUTE, CORRECTIONS 305): not carried by any CSV column; the line held to DECAY_ROUTE_ARMS (CORRECTIONS 308)
crd1-TRS-s197	5081281	crd1	TRS	k01 (granularity scalar)	DECAY_ROUTE=trace_only	DECAY_ROUTE: on mode=trace_only base=SGDm wd=0.1 lambda=na lambda_f32=na gamma=1.0	CORRECTIONS 317	decay-route switch (PATCH_DECAYROUTE, CORRECTIONS 305): not carried by any CSV column; the line held to DECAY_ROUTE_ARMS (CORRECTIONS 308)
crd1-TRL-s197	5081282	crd1	TRL	kL (granularity layerwise)	DECAY_ROUTE=trace_only	DECAY_ROUTE: on mode=trace_only base=SGDm wd=0.1 lambda=na lambda_f32=na gamma=1.0	CORRECTIONS 317	decay-route switch (PATCH_DECAYROUTE, CORRECTIONS 305): not carried by any CSV column; the line held to DECAY_ROUTE_ARMS (CORRECTIONS 308)
