# PROPOSED rows for results/CORPUS-EXCLUSIONS.tsv, owed by CORRECTIONS 300.9 at crt1's landing (36 = every run: wd 5e-4 != the standard 0.1).
# NOT applied here: this stage does NOT edit results/CORPUS-EXCLUSIONS.tsv or analysis/corpus_exclusions.py; the ingest applies them.
# Kind ARGS_WD_BASE exists since CORRECTIONS 263 (standard 0.1).  ONE ARGS kind per run: meta-stepsize and alpha0 are CSV columns
# (300.9), so no run is two-ARGS.  registered_at = CORRECTIONS 309, the crt1 landing entry (308's note), as caw2 / cgw1 carry their
# landing entries (295 / 296).  job_id from each run's own .out file name; witness = the value on the run's own ARGS line (verified
# by analysis/crt1_attack_indep.py [8]).  Rows in job order.
run	job_id	batch	arm	looks_like	intervention	witness	registered_at	reason
crt1-chM2-s176	5080605	crt1	chM2	ch (granularity chunk777)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-ndM2-s176	5080607	crt1	ndM2	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-k01M2-s176	5080608	crt1	k01M2	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-chM2-s177	5080609	crt1	chM2	ch (granularity chunk777)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-ndM2-s177	5080610	crt1	ndM2	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-k01M2-s177	5080611	crt1	k01M2	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-chM2-s178	5080612	crt1	chM2	ch (granularity chunk777)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-ndM2-s178	5080613	crt1	ndM2	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-k01M2-s178	5080614	crt1	k01M2	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-chA2-s176	5080615	crt1	chA2	ch (granularity chunk777)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-ndA2-s176	5080616	crt1	ndA2	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-k01A2-s176	5080617	crt1	k01A2	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-chA2-s177	5080618	crt1	chA2	ch (granularity chunk777)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-ndA2-s177	5080619	crt1	ndA2	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-k01A2-s177	5080620	crt1	k01A2	k01 (granularity scalar)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-chA2-s178	5080621	crt1	chA2	ch (granularity chunk777)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
crt1-ndA2-s178	5080622	crt1	ndA2	nd (granularity nodewise)	--weight-decay-base 5e-4	ARGS_WD_BASE: weight-decay-base=5e-4	CORRECTIONS 309	base-optimiser CLI flag not carried by any CSV column (ARGS-value kind, CORRECTIONS 263)
