run	job_id	batch	arm	looks_like	intervention	witness	registered_at	reason
cwd3-CARWD0-s140	5047895	cwd3	CARWD0	k01 (granularity scalar)	DECAY_MASK=layer4.0.bn2.weight+layer4.0.shortcut.1.weight+layer4.1.bn2.weight	DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.0.bn2.weight+layer4.0.shortcut.1.weight+layer4.1.bn2.weight masked=3 of=62 numel=1536 idx=50,53,59 names=layer4.0.bn2.weight,layer4.0.shortcut.1.weight,layer4.1.bn2.weight	CORRECTIONS 275	coupled weight decay removed from 3 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
cwd3-CTLWD0-s140	5047896	cwd3	CTLWD0	k01 (granularity scalar)	DECAY_MASK=layer4.0.bn1.weight+layer4.0.bn1.bias+layer4.1.bn1.weight	DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.0.bn1.weight+layer4.0.bn1.bias+layer4.1.bn1.weight masked=3 of=62 numel=1536 idx=47,48,56 names=layer4.0.bn1.weight,layer4.0.bn1.bias,layer4.1.bn1.weight	CORRECTIONS 275	coupled weight decay removed from 3 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
cwd3-CTL2WD0-s140	5047897	cwd3	CTL2WD0	k01 (granularity scalar)	DECAY_MASK=layer4.0.bn1.weight+layer4.1.bn1.weight	DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.0.bn1.weight+layer4.1.bn1.weight masked=2 of=62 numel=1024 idx=47,56 names=layer4.0.bn1.weight,layer4.1.bn1.weight	CORRECTIONS 275	coupled weight decay removed from 2 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
cwd3-NWD-s140	5047898	cwd3	NWD	k01 (granularity scalar)	DECAY_MASK=normscale	DECAY_MASK: on base=SGDm wd=0.1 spec=normscale masked=20 of=62 numel=4800 idx=2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59 names=bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.shortcut.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.shortcut.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.shortcut.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight	CORRECTIONS 275	coupled weight decay removed from 20 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
cwd3-CARWD0-s141	5047900	cwd3	CARWD0	k01 (granularity scalar)	DECAY_MASK=layer4.0.bn2.weight+layer4.0.shortcut.1.weight+layer4.1.bn2.weight	DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.0.bn2.weight+layer4.0.shortcut.1.weight+layer4.1.bn2.weight masked=3 of=62 numel=1536 idx=50,53,59 names=layer4.0.bn2.weight,layer4.0.shortcut.1.weight,layer4.1.bn2.weight	CORRECTIONS 275	coupled weight decay removed from 3 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
cwd3-CTLWD0-s141	5047901	cwd3	CTLWD0	k01 (granularity scalar)	DECAY_MASK=layer4.0.bn1.weight+layer4.0.bn1.bias+layer4.1.bn1.weight	DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.0.bn1.weight+layer4.0.bn1.bias+layer4.1.bn1.weight masked=3 of=62 numel=1536 idx=47,48,56 names=layer4.0.bn1.weight,layer4.0.bn1.bias,layer4.1.bn1.weight	CORRECTIONS 275	coupled weight decay removed from 3 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
cwd3-CTL2WD0-s141	5047902	cwd3	CTL2WD0	k01 (granularity scalar)	DECAY_MASK=layer4.0.bn1.weight+layer4.1.bn1.weight	DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.0.bn1.weight+layer4.1.bn1.weight masked=2 of=62 numel=1024 idx=47,56 names=layer4.0.bn1.weight,layer4.1.bn1.weight	CORRECTIONS 275	coupled weight decay removed from 2 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
cwd3-NWD-s141	5047903	cwd3	NWD	k01 (granularity scalar)	DECAY_MASK=normscale	DECAY_MASK: on base=SGDm wd=0.1 spec=normscale masked=20 of=62 numel=4800 idx=2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59 names=bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.shortcut.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.shortcut.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.shortcut.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight	CORRECTIONS 275	coupled weight decay removed from 20 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
cwd3-CARWD0-s142	5047905	cwd3	CARWD0	k01 (granularity scalar)	DECAY_MASK=layer4.0.bn2.weight+layer4.0.shortcut.1.weight+layer4.1.bn2.weight	DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.0.bn2.weight+layer4.0.shortcut.1.weight+layer4.1.bn2.weight masked=3 of=62 numel=1536 idx=50,53,59 names=layer4.0.bn2.weight,layer4.0.shortcut.1.weight,layer4.1.bn2.weight	CORRECTIONS 275	coupled weight decay removed from 3 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
cwd3-CTLWD0-s142	5047906	cwd3	CTLWD0	k01 (granularity scalar)	DECAY_MASK=layer4.0.bn1.weight+layer4.0.bn1.bias+layer4.1.bn1.weight	DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.0.bn1.weight+layer4.0.bn1.bias+layer4.1.bn1.weight masked=3 of=62 numel=1536 idx=47,48,56 names=layer4.0.bn1.weight,layer4.0.bn1.bias,layer4.1.bn1.weight	CORRECTIONS 275	coupled weight decay removed from 3 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
cwd3-CTL2WD0-s142	5047907	cwd3	CTL2WD0	k01 (granularity scalar)	DECAY_MASK=layer4.0.bn1.weight+layer4.1.bn1.weight	DECAY_MASK: on base=SGDm wd=0.1 spec=layer4.0.bn1.weight+layer4.1.bn1.weight masked=2 of=62 numel=1024 idx=47,56 names=layer4.0.bn1.weight,layer4.1.bn1.weight	CORRECTIONS 275	coupled weight decay removed from 2 named normalisation tensor(s); not the plain ResNet18_c100 scalar cell its CSV key names
